day,blob1_id,blob1_color,blob1_strategy,blob2_id,blob2_color,blob2_strategy,blob1_choice,blob2_choice,result
0,red00,red,dominant,blue00,blue,random,rock,paper,loss
0,green00,green,mirror,purple00,purple,rl,paper,rock,win
0,orange00,orange,mlp,black00,black,lstm,rock,rock,draw
1,red00,red,dominant,blue00,blue,random,rock,paper,loss
1,green00,green,mirror,purple00,purple,rl,paper,paper,draw
1,orange00,orange,mlp,black00,black,lstm,rock,rock,draw
1,blue01,blue,random,green01,green,mirror,paper,scissors,loss
2,red00,red,dominant,blue00,blue,random,rock,scissors,win
2,green00,green,mirror,purple00,purple,rl,paper,rock,win
2,orange00,orange,mlp,black00,black,lstm,rock,rock,draw
2,blue01,blue,random,green01,green,mirror,rock,scissors,win
2,blue02,blue,random,green02,green,mirror,scissors,rock,loss
3,red00,red,dominant,blue00,blue,random,rock,paper,loss
3,green00,green,mirror,purple00,purple,rl,paper,paper,draw
3,orange00,orange,mlp,black00,black,lstm,rock,rock,draw
3,blue01,blue,random,green01,green,mirror,rock,paper,loss
3,blue02,blue,random,green02,green,mirror,scissors,rock,loss
3,red01,red,dominant,green03,green,mirror,rock,scissors,win
3,blue03,blue,random,green04,green,mirror,rock,paper,loss
4,red00,red,dominant,blue00,blue,random,rock,paper,loss
4,green00,green,mirror,purple00,purple,rl,paper,paper,draw
4,orange00,orange,mlp,black00,black,lstm,rock,rock,draw
4,blue01,blue,random,green01,green,mirror,paper,rock,win
4,blue02,blue,random,green02,green,mirror,paper,rock,win
4,red01,red,dominant,green03,green,mirror,rock,paper,loss
4,blue03,blue,random,green04,green,mirror,rock,paper,loss
4,blue04,blue,random,green05,green,mirror,scissors,scissors,draw
4,green06,green,mirror,red02,red,dominant,rock,rock,draw
5,red00,red,dominant,blue00,blue,random,scissors,paper,win
5,green00,green,mirror,purple00,purple,rl,scissors,paper,win
5,orange00,orange,mlp,black00,black,lstm,scissors,rock,loss
5,blue01,blue,random,green01,green,mirror,paper,rock,win
5,blue02,blue,random,green02,green,mirror,paper,scissors,loss
5,red01,red,dominant,green03,green,mirror,rock,paper,loss
5,blue03,blue,random,green04,green,mirror,scissors,paper,win
5,blue04,blue,random,green05,green,mirror,rock,rock,draw
5,green06,green,mirror,red02,red,dominant,scissors,rock,loss
5,green07,green,mirror,blue05,blue,random,rock,rock,draw
5,blue06,blue,random,blue07,blue,random,rock,scissors,win
5,green08,green,mirror,green09,green,mirror,scissors,rock,loss
6,red00,red,dominant,blue00,blue,random,rock,scissors,win
6,green00,green,mirror,purple00,purple,rl,scissors,scissors,draw
6,orange00,orange,mlp,black00,black,lstm,scissors,rock,loss
6,blue01,blue,random,green01,green,mirror,rock,rock,draw
6,blue02,blue,random,green02,green,mirror,paper,scissors,loss
6,red01,red,dominant,green03,green,mirror,rock,paper,loss
6,blue03,blue,random,green04,green,mirror,rock,paper,loss
6,blue04,blue,random,green05,green,mirror,paper,rock,win
6,green06,green,mirror,red02,red,dominant,paper,rock,win
6,green07,green,mirror,blue05,blue,random,scissors,scissors,draw
6,blue06,blue,random,blue07,blue,random,rock,scissors,win
6,green08,green,mirror,green09,green,mirror,scissors,rock,loss
6,red03,red,dominant,green10,green,mirror,rock,paper,loss
6,black01,black,lstm,blue08,blue,random,rock,rock,draw
6,green11,green,mirror,green12,green,mirror,rock,scissors,win
6,blue09,blue,random,red04,red,dominant,paper,rock,win
6,blue10,blue,random,green13,green,mirror,paper,scissors,loss
7,red00,red,dominant,blue00,blue,random,paper,paper,draw
7,green00,green,mirror,purple00,purple,rl,scissors,scissors,draw
7,orange00,orange,mlp,black00,black,lstm,scissors,rock,loss
7,blue01,blue,random,green01,green,mirror,scissors,scissors,draw
7,blue02,blue,random,green02,green,mirror,rock,scissors,win
7,red01,red,dominant,green03,green,mirror,rock,paper,loss
7,blue03,blue,random,green04,green,mirror,rock,paper,loss
7,blue04,blue,random,green05,green,mirror,paper,scissors,loss
7,green06,green,mirror,red02,red,dominant,paper,scissors,loss
7,green07,green,mirror,blue05,blue,random,scissors,rock,loss
7,blue06,blue,random,blue07,blue,random,scissors,rock,loss
7,green08,green,mirror,green09,green,mirror,paper,rock,win
7,red03,red,dominant,green10,green,mirror,scissors,paper,win
7,black01,black,lstm,blue08,blue,random,rock,scissors,win
7,green11,green,mirror,green12,green,mirror,scissors,scissors,draw
7,blue09,blue,random,red04,red,dominant,scissors,rock,loss
7,blue10,blue,random,green13,green,mirror,paper,scissors,loss
7,red05,red,dominant,black02,black,lstm,rock,paper,loss
7,green14,green,mirror,green15,green,mirror,paper,paper,draw
7,green16,green,mirror,blue11,blue,random,scissors,paper,win
7,green17,green,mirror,blue12,blue,random,paper,paper,draw
7,green18,green,mirror,green19,green,mirror,rock,rock,draw
7,green20,green,mirror,blue13,blue,random,scissors,paper,win
8,red00,red,dominant,blue00,blue,random,rock,scissors,win
8,green00,green,mirror,purple00,purple,rl,scissors,rock,loss
8,orange00,orange,mlp,black00,black,lstm,scissors,rock,loss
8,blue01,blue,random,green01,green,mirror,rock,paper,loss
8,blue02,blue,random,green02,green,mirror,rock,scissors,win
8,red01,red,dominant,green03,green,mirror,rock,paper,loss
8,blue03,blue,random,green04,green,mirror,rock,paper,loss
8,blue04,blue,random,green05,green,mirror,paper,scissors,loss
8,green06,green,mirror,red02,red,dominant,paper,paper,draw
8,green07,green,mirror,blue05,blue,random,paper,rock,win
8,blue06,blue,random,blue07,blue,random,paper,rock,win
8,green08,green,mirror,green09,green,mirror,paper,paper,draw
8,red03,red,dominant,green10,green,mirror,rock,paper,loss
8,black01,black,lstm,blue08,blue,random,rock,rock,draw
8,green11,green,mirror,green12,green,mirror,rock,paper,loss
8,blue09,blue,random,red04,red,dominant,rock,rock,draw
8,blue10,blue,random,green13,green,mirror,scissors,scissors,draw
8,red05,red,dominant,black02,black,lstm,rock,paper,loss
8,green14,green,mirror,green15,green,mirror,scissors,paper,win
8,green16,green,mirror,blue11,blue,random,scissors,scissors,draw
8,green17,green,mirror,blue12,blue,random,rock,rock,draw
8,green18,green,mirror,green19,green,mirror,rock,paper,loss
8,green20,green,mirror,blue13,blue,random,paper,scissors,loss
8,green21,green,mirror,black03,black,lstm,rock,rock,draw
8,blue14,blue,random,green22,green,mirror,scissors,rock,loss
8,green23,green,mirror,green24,green,mirror,rock,paper,loss
8,red06,red,dominant,blue15,blue,random,rock,rock,draw
8,blue16,blue,random,green25,green,mirror,paper,scissors,loss
8,red07,red,dominant,black04,black,lstm,rock,scissors,win
8,red08,red,dominant,green26,green,mirror,rock,rock,draw
8,black05,black,lstm,green27,green,mirror,paper,paper,draw
9,red00,red,dominant,blue00,blue,random,scissors,rock,loss
9,green00,green,mirror,purple00,purple,rl,rock,scissors,win
9,orange00,orange,mlp,black00,black,lstm,scissors,rock,loss
